% Model:              
% Version:            COMSOL 5.3.1.348
% Date:               Jul 5 2019, 13:11
% Dimension:          2
% Nodes:              2500
% Expressions:        3
% Description:        
% Length unit:        m
% X                       Y                        u2 (K) @ t=0             u2 (K) @ t=1.9E-5        u2 (K) @ t=1E-4
0.06122448979591836       0.06040816326530612      349.9999999071298        348.630137062799         327.286192325787
0.06326530612244897       0.06040816326530612      349.999997849581         348.28827616504486       324.47907282902923
0.06530612244897958       0.06040816326530612      350.00000359311207       347.8083841630653        321.5253788616672
0.06734693877551019       0.06040816326530612      350.00001178206884       347.18885841276636       318.4246308244978
0.0693877551020408        0.06040816326530612      349.99998673718824       346.36315469772495       315.16381144252546
0.07142857142857142       0.06040816326530612      349.9999859420699        345.2581477453274        311.7404056087282
0.07346938775510203       0.06040816326530612      349.99998109310815       343.81298049429324       308.1533633423629
0.07551020408163264       0.06040816326530612      350.0000622330358        341.94171878567005       304.4088031449694
0.07755102040816325       0.06040816326530612      349.9999250189159        339.6143648407673        300.5037231465793
0.07959183673469387       0.06040816326530612      349.9998604001903        336.50572751756005       296.4515201198689
0.08163265306122448       0.06040816326530612      350.00008268200185       332.55707935155624       292.2567012031799
0.08367346938775509       0.06040816326530612      350.00059186435044       327.7684203427557        287.91926639651217
0.0857142857142857        0.06040816326530612      349.9998694152187        321.97230692203647       283.4476934474394
0.08775510204081631       0.06040816326530612      349.9992498374403        314.9258233523609        278.8800154032262
0.08979591836734693       0.06040816326530612      350.0006132778142        306.6643987106658        274.22335371254155
0.09183673469387754       0.06040816326530612      350.0039597363406        297.1880329969512        269.4777083753855
0.09387755102040815       0.06040816326530612      362.0267327601766        286.4413776158407        264.6613554593767
0.09591836734693876       0.06040816326530612      353.06448995273314       274.95155620711074       259.8090401287238
0.09795918367346937       0.06040816326530612      315.8972215690121        262.8032527340703        254.9214278203567
0.09999999999999999       0.06040816326530612      250.00000000000065       250.00000000000009       250.00000000000003
0                         0.06204081632653061      399.99999999999994       399.99999999999994       399.99999999999994
0.002040816326530612      0.06204081632653061      371.2335996967292        393.4643431390071        396.9503787960942
0.004081632653061224      0.06204081632653061      352.50744122903507       387.3061597725826        393.9402445293042
0.0061224489795918356     0.06204081632653061      344.0707613659336        381.5158490432691        390.9548252827027
0.008163265306122448      0.06204081632653061      347.09942587270433       376.0825676491395        387.99214763536975
0.01020408163265306       0.06204081632653061      349.9995182586565        371.2289393461342        385.08379785281136
0.012244897959183671      0.06204081632653061      350.0003061337204        367.049039068457         382.23772190906084
0.014285714285714284      0.06204081632653061      350.00025255552475       363.47433074013327       379.45612914735665
0.016326530612244896      0.06204081632653061      350.00011907195795       360.4771840416255        376.7519655602635
0.01836734693877551       0.06204081632653061      349.9999230992659        358.0559890349043        374.1252511601731
0.02040816326530612       0.06204081632653061      349.99997381537355       356.1044989165521        371.57223059381846
0.022448979591836733      0.06204081632653061      349.99999601683146       354.5744264228625        369.095549105656
0.024489795918367342      0.06204081632653061      350.0000130830458        353.32480504627057       366.69335076086014
0.026530612244897955      0.06204081632653061      350.0000119818914        352.3490073096795        364.3650289088665
0.028571428571428567      0.06204081632653061      349.9999946870712        351.640953252729         362.11014690996126
0.03061224489795918       0.06204081632653061      349.99998134143016       351.0956659914368        359.9159952271768
